AudioLDM Single GPU 1 epoch

FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg   # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg   # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...        52.63%      868.959s        61.85%     1021.216s     544.358ms       0.000us         0.00%       0.000us       0.000us          1876
                                            aten::copy_         7.25%      119.670s        21.47%      354.479s     667.682us       16.056s         2.16%       18.485s      34.818us        530911
                                               aten::to         0.03%     570.813ms        18.01%      297.323s       1.218ms       0.000us         0.00%        4.514s      18.498us        244036
                                         aten::_to_copy        -1.35%  -22312900.000us     17.97%      296.657s       2.228ms       0.000us         0.00%        4.480s      33.656us        133125
                                  cudaStreamSynchronize        15.32%      252.978s        15.32%      252.978s      21.929ms     216.508ms         0.03%     216.508ms      18.768us         11536
                                        cudaMemcpyAsync         4.62%       76.333s         4.64%       76.589s     636.723us        1.985s         0.27%        2.038s      16.947us        120286
                                             aten::item        -0.25%  -4136689.000us       4.36%       72.015s      67.030us       0.000us         0.00%      43.590ms       0.041us       1074377
                              aten::_local_scalar_dense         3.13%       51.670s         4.26%       70.372s      65.500us       2.262ms         0.00%      39.844ms       0.037us       1074377
                                            aten::clone         0.07%        1.209s         3.73%       61.591s     239.770us       0.000us         0.00%       12.992s      50.578us        256875
                                       aten::contiguous         0.04%     597.195ms         3.37%       55.610s     449.376us       0.000us         0.00%        5.417s      43.777us        123750
                                       cudaLaunchKernel         2.31%       38.074s         2.38%       39.282s      10.319us       60.684s         8.17%       60.700s      15.945us       3806822
autograd::engine::evaluate_function: ConvolutionBack...         0.12%        1.971s         1.99%       32.862s     330.682us       0.000us         0.00%       88.250s     888.048us         99375
                                   ConvolutionBackward0         0.03%     556.945ms         1.86%       30.680s     308.728us       0.000us         0.00%       87.842s     883.949us         99375
                             aten::convolution_backward         1.01%       16.677s         1.82%       30.099s     302.888us       55.994s         7.54%       87.674s     882.253us         99375
                                      aten::convolution         0.10%        1.685s         1.82%       29.979s     185.915us       0.000us         0.00%      243.720s       1.511ms        161250
                               Optimizer.step#Adam.step         0.81%       13.456s         1.79%       29.625s      15.800ms       0.000us         0.00%       22.396s      11.944ms          1875
                                           aten::conv2d         0.04%     641.023ms         1.79%       29.496s     189.530us       0.000us         0.00%      241.018s       1.549ms        155625
                                     aten::_convolution         0.13%        2.198s         1.71%       28.196s     174.861us       0.000us         0.00%      242.968s       1.507ms        161250
